agent_id,team,tenure_months,skill_tier,base_capability,volume_tendency
A001,Gamma,21,Mid,0.4520458734756676,0.2831332667724412
A002,Delta,15,Mid,0.3083569074391338,0.26457194745144264
A003,Alpha,21,Mid,0.15,0.45030643165923867
A004,Gamma,4,Junior,0.2511717063000637,0.1
A005,Gamma,16,Mid,0.34651319239713574,0.5043210536048017
A006,Delta,26,Mid,0.37165286761428445,0.7446695116376324
A007,Alpha,65,Senior,0.37450720074644106,0.1
A008,Alpha,13,Mid,0.20525993757194316,0.4677830779231982
A009,Gamma,10,Junior,0.16577423905259475,0.7026159494930271
A010,Beta,13,Mid,0.28828524093262675,0.6589103764090731
A011,Gamma,41,Senior,0.3009892417022782,0.16185100575842337
A012,Gamma,26,Mid,0.4254692239623719,0.3357436303892153
A013,Gamma,13,Mid,0.4439760084779879,0.4354170612779376
A014,Gamma,30,Mid,0.4970415240618269,0.16938971323698604
A015,Delta,21,Mid,0.16314032717532378,0.32374207296344915
A016,Alpha,43,Senior,0.29293463958515403,0.4254224397807406
A017,Delta,11,Junior,0.17438406214593166,0.4908118465360384
A018,Delta,15,Mid,0.3433799074976458,0.36105925811121753
A019,Delta,14,Mid,0.5165094690404681,0.25436837754286706
A020,Gamma,6,Junior,0.15,0.1139420933619113
A021,Beta,25,Mid,0.37237282520412696,0.537461246072577
A022,Alpha,24,Mid,0.24926689378899486,0.5373876371254794
A023,Beta,20,Mid,0.3034269472023357,0.6991243316280789
A024,Delta,16,Mid,0.3044950110376347,0.14723174802918534
A025,Delta,6,Junior,0.4009803493991119,0.34486113504332366
A026,Beta,14,Mid,0.3695060783404982,0.6042597237026806
A027,Beta,15,Mid,0.31357984259521915,0.6662433402349915
A028,Beta,10,Junior,0.15,0.8477390018457838
A029,Delta,17,Mid,0.5205322251117599,0.1
A030,Delta,27,Mid,0.2074597368690071,0.6832461884203991
A031,Alpha,90,Expert,0.7987913533084143,0.5855762340541175
A032,Alpha,23,Mid,0.5152754074157739,0.8162106222679011
A033,Delta,24,Mid,0.4790215354594026,0.1880361412371556
A034,Beta,18,Mid,0.2201959207040134,0.2548085124699625
A035,Beta,4,Junior,0.25129149080028595,0.49065680821025465
A036,Alpha,19,Mid,0.34218848082268666,0.3201083895226611
A037,Delta,21,Mid,0.31458702522409787,0.7929419556647195
A038,Alpha,120,Expert,0.48470198287173266,0.6602596508302654
A039,Alpha,17,Mid,0.15,0.52071474583365
A040,Gamma,25,Mid,0.4196697954498669,0.806606065225585
A041,Gamma,19,Mid,0.3158176706171481,0.43097390502985544
A042,Gamma,7,Junior,0.3526230486245391,0.5934042582529625
A043,Beta,50,Senior,0.5840789066918215,0.3378292063563407
A044,Delta,36,Senior,0.4103847540920393,0.5030941684467605
A045,Delta,37,Senior,0.574175889965182,0.6379998722734891
A046,Delta,9,Junior,0.15,0.3258515470743551
A047,Delta,61,Senior,0.3417962077508981,0.45214618635171694
A048,Gamma,6,Junior,0.45091224518361495,0.5829831978695219
A049,Beta,32,Mid,0.3089342329421082,0.26560304545940966
A050,Beta,115,Expert,0.6013872548756152,0.6461380337177683
A051,Gamma,9,Junior,0.43606179086777885,0.595361819267575
A052,Beta,12,Mid,0.4141253454139363,0.4320891016108847
A053,Gamma,21,Mid,0.3678554814812086,0.5298425585974883
A054,Delta,13,Mid,0.425736526792958,0.8917193389469971
A055,Gamma,5,Junior,0.32702921548663644,0.24480248948582334
A056,Delta,21,Mid,0.15,0.4639603986565883
A057,Delta,8,Junior,0.3763776576245692,0.9
A058,Alpha,29,Mid,0.34695428853685745,0.3218682217762188
A059,Gamma,9,Junior,0.2670124053476954,0.39411375734212006
A060,Alpha,69,Senior,0.4405366493026455,0.7176965181376036
A061,Gamma,10,Junior,0.382298748274059,0.6019088889491022
A062,Gamma,15,Mid,0.4822781963668634,0.5756261318454382
A063,Alpha,38,Senior,0.34867450718438564,0.2171301526364013
A064,Alpha,7,Junior,0.5486664541915562,0.708447455583695
A065,Gamma,24,Mid,0.44018100466387966,0.8627739563815416
A066,Beta,57,Senior,0.3559222482709498,0.46333066424659897
A067,Delta,5,Junior,0.21685038501048332,0.7137642056130891
A068,Alpha,23,Mid,0.40004456413237577,0.39246246008016517
A069,Delta,24,Mid,0.31856163745356225,0.3975205080234693
A070,Beta,37,Senior,0.576890599670589,0.2083808754755687
A071,Beta,7,Junior,0.5133277785132656,0.5720978740207288
A072,Beta,6,Junior,0.2576744421933474,0.7923012912599461
A073,Alpha,30,Mid,0.2958085825733272,0.48497844560608644
A074,Beta,25,Mid,0.294898349617281,0.7066089032497732
A075,Alpha,24,Mid,0.3450054429011758,0.41249978882558597
A076,Beta,26,Mid,0.5132579242873914,0.660728589895609
A077,Delta,11,Junior,0.2614938769313995,0.5524384283935919
A078,Delta,24,Mid,0.24679226439988328,0.12459740588239815
A079,Gamma,25,Mid,0.3367316955012652,0.30483912972607524
A080,Delta,11,Junior,0.3405830281704084,0.4116446854346694
A081,Gamma,89,Expert,0.37119345304175966,0.4633671172606175
A082,Delta,29,Mid,0.5504953932998851,0.5948798075257975
A083,Alpha,7,Junior,0.24385644372128268,0.17978158786793821
A084,Delta,33,Mid,0.4965668934905685,0.20025800810676947
A085,Gamma,9,Junior,0.15,0.4589704358829053
A086,Gamma,37,Senior,0.4783948427364159,0.73270746908448
A087,Beta,50,Senior,0.6919176040199662,0.5964789500535137
A088,Alpha,10,Junior,0.171707864770558,0.2741946388725651
A089,Delta,43,Senior,0.2506909395424923,0.13951418691374012
A090,Beta,27,Mid,0.42507743648660756,0.3736473451836797
A091,Delta,38,Senior,0.20365710462693487,0.5412738236716677
A092,Delta,91,Expert,0.4874550820002985,0.7764473396876393
A093,Beta,16,Mid,0.582369236231704,0.18758759208042888
A094,Beta,10,Junior,0.3669223072933441,0.7391283791064446
A095,Beta,9,Junior,0.28302477970145623,0.42148562146409363
A096,Beta,10,Junior,0.433809096596498,0.7871213436624201
A097,Beta,18,Mid,0.28539493065477467,0.6261897223384028
A098,Delta,26,Mid,0.35973747361326625,0.6337416729780984
A099,Beta,25,Mid,0.35792048940870047,0.7575002840786557
A100,Alpha,38,Senior,0.42401746528354706,0.3778541628022643
A101,Gamma,20,Mid,0.3624767406666779,0.8467259355401782
A102,Beta,64,Senior,0.4673835363364951,0.47772710136156743
A103,Beta,16,Mid,0.18078348843349945,0.6954165961754105
A104,Delta,120,Expert,0.4958278278953158,0.7948337707512473
A105,Beta,33,Mid,0.40752041429763897,0.11471735877285034
A106,Beta,10,Junior,0.24183999206356752,0.7107297707427236
A107,Beta,8,Junior,0.22987395353896198,0.7698008295428707
A108,Delta,29,Mid,0.44779421637534433,0.6937023939617025
A109,Beta,16,Mid,0.2897329293807208,0.24016973527375796
A110,Gamma,35,Mid,0.36406131575086587,0.2994831513286796
A111,Delta,29,Mid,0.1610161423606798,0.4294403382378718
A112,Gamma,18,Mid,0.15836922035097775,0.5208541443882536
A113,Delta,10,Junior,0.37513833698025467,0.388735748548558
A114,Beta,5,Junior,0.1988556921450178,0.7677614331574659
A115,Gamma,14,Mid,0.4555086341597399,0.1
A116,Delta,39,Senior,0.3671027011038739,0.41976726080406895
A117,Alpha,23,Mid,0.3538330025435627,0.24803308204685753
A118,Beta,7,Junior,0.2840965526788264,0.8498827518647151
A119,Delta,23,Mid,0.3057768061554348,0.5911877807381078
A120,Alpha,27,Mid,0.5016920689255762,0.5182944705879743
A121,Delta,9,Junior,0.47384296394261166,0.27688022066539464
A122,Alpha,22,Mid,0.42524841095769167,0.6064311847220494
A123,Beta,21,Mid,0.4193205388138583,0.21539059097160376
A124,Gamma,8,Junior,0.33701901944416707,0.5459700145955889
A125,Alpha,26,Mid,0.20463781546876741,0.8058653745412895
A126,Delta,31,Mid,0.46330195148964215,0.8113466863113791
A127,Beta,47,Senior,0.3890674661909682,0.3128376390513376
A128,Alpha,46,Senior,0.29624875818633845,0.7834521074974818
A129,Delta,6,Junior,0.40419664942353983,0.10277112596556566
A130,Delta,9,Junior,0.4812077030552525,0.42951549567351593
A131,Delta,30,Mid,0.15833668798009665,0.3243371998728529
A132,Alpha,30,Mid,0.2956878808793727,0.1
A133,Alpha,30,Mid,0.20598145907791482,0.665036100297727
A134,Alpha,120,Expert,0.6517406187504813,0.7580765608467687
A135,Gamma,31,Mid,0.5204268445704978,0.726839561573946
A136,Alpha,49,Senior,0.2639387983832589,0.6269926039264344
A137,Alpha,43,Senior,0.2615763965387699,0.5726527405549403
A138,Alpha,33,Mid,0.45461396939855026,0.8692735074456857
A139,Gamma,15,Mid,0.33142080063330887,0.3804654237525346
A140,Alpha,36,Senior,0.21368707682551225,0.6067714061497339
A141,Delta,10,Junior,0.3455667757225618,0.3206621620831774
A142,Alpha,16,Mid,0.23680235390407442,0.725330962228695
A143,Delta,13,Mid,0.2645015445773113,0.7077116583711939
A144,Delta,21,Mid,0.5533197432310929,0.5481332418333011
A145,Delta,120,Expert,0.7772949477743643,0.6215552160409028
A146,Gamma,4,Junior,0.19864950554620933,0.45658185821040953
A147,Gamma,34,Mid,0.4502109740559814,0.5784173443282992
A148,Gamma,5,Junior,0.23890144584300227,0.13107649932759916
A149,Alpha,13,Mid,0.2639069720098104,0.6033263498706493
A150,Delta,47,Senior,0.3994886759685918,0.8687232158406591
A151,Gamma,21,Mid,0.41815134632174106,0.42085168444756954
A152,Gamma,8,Junior,0.43989453317236016,0.5591744607732706
A153,Alpha,11,Junior,0.5001404979463908,0.42542516933663616
A154,Gamma,34,Mid,0.45305840140902065,0.328041871861282
A155,Alpha,11,Junior,0.28243262081485165,0.7003530659232571
A156,Beta,23,Mid,0.2428776873274557,0.40725847818088706
A157,Gamma,20,Mid,0.34137420093962456,0.7031745516033406
A158,Beta,11,Junior,0.3353877728226858,0.5203374445674649
A159,Alpha,111,Expert,0.6264632887681384,0.17209251620965302
A160,Delta,33,Mid,0.5646167970243815,0.2904109832941283
A161,Gamma,3,Junior,0.2157288511874776,0.557115456904987
A162,Alpha,23,Mid,0.38900887400535034,0.5037657512462608
A163,Delta,11,Junior,0.2946262653859673,0.39194828305873863
A164,Delta,39,Senior,0.421955867713269,0.5129189862442906
A165,Beta,10,Junior,0.43308667732751627,0.324469764121065
A166,Alpha,18,Mid,0.32230779555235367,0.26888486768721137
A167,Delta,30,Mid,0.47874325303406245,0.5765737251334517
A168,Gamma,40,Senior,0.40988892225482865,0.1
A169,Gamma,7,Junior,0.5203840298073725,0.3684777589251536
A170,Beta,15,Mid,0.22452668841915913,0.5417050420062127
A171,Delta,13,Mid,0.2628811105749904,0.8401386759350017
A172,Alpha,11,Junior,0.49557859961923123,0.45685339722281393
A173,Gamma,82,Expert,0.5467672519785649,0.8490969581800873
A174,Delta,27,Mid,0.22367911136309804,0.28949014022412883
A175,Delta,7,Junior,0.4660179118798309,0.6819118597889053
A176,Beta,41,Senior,0.4203167644961796,0.4679785330082866
A177,Gamma,109,Expert,0.5517032336842189,0.2374291344783716
A178,Gamma,45,Senior,0.3100530143471401,0.32397085931827824
A179,Alpha,5,Junior,0.4797325942174381,0.6917594436451487
A180,Gamma,13,Mid,0.3866967512339824,0.6723896048474984
