agent_id,month,call_volume,avg_handle_time,first_call_resolution,csat_score,quality_score,transfer_rate,repeat_call_rate,incentive_payout,incentive_tier
A001,1,435,479.82870768889296,0.6479045677338127,3.5128186478900023,53.832015669403305,0.08434451119533475,0.24785890653706935,0.0,Bronze
A002,1,447,489.51564444768366,0.5888056187765952,3.6167131138190953,45.132025079773804,0.07968742556675604,0.25702189394712843,0.0,Bronze
A003,1,566,472.4392308508883,0.4164125731497132,2.878027466386073,39.1411174023024,0.08042967091506048,0.3694509204943309,0.0,Bronze
A004,1,451,567.919031837867,0.5454741777782628,3.6949211210705424,44.548357817553864,0.02,0.28602112498413623,0.0,Bronze
A005,1,532,395.9527728750797,0.5889328704786948,3.748605516334768,43.1136048840493,0.1232229888257716,0.20541476070090753,150.0,Silver
A006,1,648,307.7819067350464,0.4741247036579717,2.950272067747141,46.07195422759122,0.21273268872958623,0.2768345246856012,350.0,Gold
A007,1,407,521.0331744406084,0.6378346831022123,3.612682242076326,53.90065018274264,0.02,0.23929075419333265,0.0,Bronze
A008,1,555,425.9068639845814,0.5147891265207469,3.3526512097643093,39.827030495663074,0.1314278704390563,0.3033843188866679,150.0,Silver
A009,1,615,392.52438279206444,0.46955239979763375,3.000428899914377,35.095810659276964,0.19328912777247464,0.3104813854139496,150.0,Silver
A010,1,640,402.0104722399449,0.480901077797673,3.1278052852153926,31.852745784459707,0.22754920335525902,0.3442086925747407,350.0,Gold
A011,1,415,515.840872119476,0.5796459791049489,3.5097864747814826,51.405640398672475,0.04881317291799212,0.20960855243686174,0.0,Bronze
A012,1,505,517.0911960405814,0.6627085027180449,3.4889465582020542,54.29965071234838,0.1028786547432945,0.2392242370079368,0.0,Bronze
A013,1,562,456.5504767707864,0.6552391851558369,3.7110272404822333,45.58412886184785,0.11869437867430951,0.18336494917605062,0.0,Bronze
A014,1,442,516.9626500728956,0.7026287070702537,3.806583790963949,56.09082813616555,0.02,0.24173988603642355,0.0,Bronze
A015,1,474,521.4166633629075,0.5162382670805434,3.2175741533084783,38.10434882617629,0.13766770202228204,0.2906709317345225,0.0,Bronze
A016,1,531,430.18593256287636,0.5222871224953001,3.4909778814330097,42.59291146053793,0.1335240411503584,0.3036734501626035,150.0,Silver
A017,1,552,491.0319857740053,0.4468038464456599,2.887715543168943,38.02632524209868,0.17051261460965414,0.295361972604043,0.0,Bronze
A018,1,500,473.1242661263672,0.5860928653747871,3.624554186211988,53.909940412369934,0.22371395497112959,0.3039468017998177,0.0,Bronze
A019,1,469,504.8713772274728,0.6610612683753284,3.747977054395267,62.41878142724454,0.02,0.26682723257163415,0.0,Bronze
A020,1,451,524.3587596683175,0.5920543669127132,3.4602752098158756,34.2297726324143,0.11522642283331108,0.2806845823252714,0.0,Bronze
A021,1,600,381.7846429809611,0.576272134896493,3.529257324063944,48.66707252064794,0.13850460341572085,0.2656056286354996,150.0,Silver
A022,1,568,465.26309108048156,0.44639042607316914,3.127891428191291,46.04719673024459,0.16804008703456066,0.33883954812958633,0.0,Bronze
A023,1,665,406.1685081556722,0.5357682898700132,3.3817060519042053,41.61852498914162,0.19307302082774885,0.2644859070123742,350.0,Gold
A024,1,414,505.6810152582148,0.550815780792009,3.5634052008154162,53.47117645737379,0.04363134590159155,0.30534035745381777,0.0,Bronze
A025,1,543,447.59678886101705,0.5669092671037969,3.39602122632168,59.93745267280957,0.07902226097375696,0.32272071998819885,0.0,Bronze
A026,1,621,445.7475047727231,0.5399017187360929,3.267339129605226,49.52995579201961,0.1739995851588106,0.3161576293049384,0.0,Bronze
A027,1,628,366.39882389571034,0.5796558432573868,3.2274567940321472,41.93188500444473,0.13968763989907562,0.24624958860282298,150.0,Silver
A028,1,710,422.345438136233,0.53097038857464,3.1257818590211346,35.00935734273701,0.2694521254870989,0.2984543640883371,350.0,Gold
A029,1,368,495.9281554493879,0.6997885344878966,4.334674252255458,60.25105042107245,0.02,0.1812903398920819,75.0,Bronze
A030,1,599,427.59423697625107,0.46029872923966514,3.259851689623283,35.24380923356915,0.16616349324698831,0.33305221763940424,150.0,Silver
A031,1,588,363.86825188315964,0.7555534774674258,3.8236205894766413,64.3988529760403,0.10301453744281351,0.2112967113989058,225.0,Silver
A032,1,706,362.5154266239176,0.5842680309555854,3.26217675668797,56.33767783093072,0.24023959133127504,0.2101982974318009,350.0,Gold
A033,1,501,488.76539108134506,0.6369843269658153,3.7705547982649525,52.03839132470279,0.03304682915286193,0.21035275389630298,0.0,Bronze
A034,1,529,509.39449262993924,0.6150114942383043,3.657696273789102,49.84950697154181,0.1024361445933779,0.2455012354023653,0.0,Bronze
A035,1,577,453.43422412927936,0.5115032933365771,3.33267662318353,42.704043035562336,0.12560636470107087,0.2863728902511444,0.0,Bronze
A036,1,510,455.6884308636219,0.5947228484041838,3.474187895436363,40.31126732428471,0.11854590479610519,0.22582655257576228,0.0,Bronze
A037,1,628,392.53053892401414,0.5080128768909632,3.1920184550007025,40.673468391191214,0.2373420185574762,0.3084642111241802,150.0,Silver
A038,1,622,371.0684820111128,0.6476624212802368,3.6849020886789763,38.831071842874536,0.2220529794192854,0.24847923975612066,150.0,Silver
A039,1,542,447.96331608138695,0.5036622991020608,3.2065090412948796,37.81681889665043,0.15991176809343602,0.29270700639982006,0.0,Bronze
A040,1,675,326.55102291036167,0.49367187587163797,2.816527953491706,48.310556209054525,0.22974418090414678,0.2798575046465939,350.0,Gold
A041,1,533,383.804746916962,0.5232954783194533,3.2125464934269043,41.36449517714931,0.1291037353819174,0.32214302246471554,150.0,Silver
A042,1,590,410.65579769630045,0.4772657978808543,3.022944821671747,44.34782703721042,0.20196491315667717,0.3587558942403071,150.0,Silver
A043,1,454,529.5132703901202,0.6945317427561386,3.9498048808731077,68.9072944079974,0.054484439291641144,0.20768045838214846,0.0,Bronze
A044,1,594,456.72611111604664,0.6082351737522814,4.019343652017349,45.44409165659087,0.1570852260888046,0.2383409229844428,75.0,Bronze
A045,1,601,382.5046315430777,0.629099165791328,3.6748563862608803,48.844258478873755,0.14624146018835366,0.26309656364582873,150.0,Silver
A046,1,495,495.6503883551632,0.5668264188605175,3.3616048305677197,45.020543806197665,0.11453724145533384,0.26252855106338335,0.0,Bronze
A047,1,610,453.45780942134235,0.57868518508301,3.603893853391359,55.12055354492312,0.1316095003462906,0.26434400994689894,0.0,Bronze
A048,1,578,425.5765494695143,0.5836319764214517,3.5623076301921426,48.81934265037715,0.15822178684181928,0.28873680398315943,150.0,Silver
A049,1,395,467.2814308816714,0.5379837316348048,3.415874036733199,51.51998114225604,0.08202046677698285,0.22752582472085925,0.0,Bronze
A050,1,629,411.7564169230626,0.6553633717049576,3.8158663397573664,62.08467181566864,0.15783717843699638,0.277403721063597,150.0,Silver
A051,1,642,429.0148055595657,0.5792780096381902,3.7844903434193498,44.160241091683396,0.20257781745698142,0.27046921187460415,350.0,Gold
A052,1,602,472.1107618271232,0.6091319170346442,3.4178623154839953,46.79840156969421,0.1461732314297841,0.24400243884927686,0.0,Bronze
A053,1,543,443.90808436679885,0.5356190800643079,3.4162613476395824,51.59950826087178,0.17174972927615814,0.28307534334763335,0.0,Bronze
A054,1,742,335.0850123147746,0.4943009999594198,3.0208745982788514,51.33610764898549,0.21668999627673732,0.3011524806668477,350.0,Gold
A055,1,450,526.2822931588851,0.5130141607789754,3.418901146305567,50.493827732916245,0.05182047597594247,0.24285829658506208,0.0,Bronze
A056,1,539,486.76432434809425,0.46870596020954974,2.9889851713423004,31.141522252640904,0.17964911641127965,0.35736576273977716,0.0,Bronze
